source,target,target_in_inventory
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/brazil/cities/brasilia/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/brazil/cities/campo-grande/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/brazil/cities/cuiaba/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/brazil/cities/goiania/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/process/planning/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/services/advisory/corporate/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/services/residencies/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/services/residencies/nomad/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/start-consultation/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/about/lawyer/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/brazil/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/brazil/cities/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/brazil/cities/belo-horizonte/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/brazil/cities/campinas/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/brazil/cities/rio-de-janeiro/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/brazil/cities/sao-paulo/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/process/planning/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/services/advisory/corporate/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/services/residencies/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/services/residencies/nomad/,True
https://immigratetobrazil.com/brazil/cities/campinas/,https://immigratetobrazil.com/start-consultation/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/about/lawyer/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/brazil/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/brazil/cities/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/brazil/cities/brasilia/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/brazil/cities/campo-grande/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/brazil/cities/cuiaba/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/brazil/cities/goiania/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/process/planning/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/services/advisory/corporate/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/services/residencies/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/services/residencies/nomad/,True
https://immigratetobrazil.com/brazil/cities/campo-grande/,https://immigratetobrazil.com/start-consultation/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/about/lawyer/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/brazil/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/brazil/cities/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/brazil/cities/brasilia/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/brazil/cities/campo-grande/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/brazil/cities/cuiaba/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/brazil/cities/goiania/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/process/planning/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/services/advisory/corporate/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/services/residencies/,True
